,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
1390,YGL156W,426671.1854,444792.3231,419501.2958,726053.5247,768945.021,736979.1667,2.36E-05,0.520131595,3.02E-05,133,0.000729482,TRUE,2
2062,YJL125C,510429.7867,515226.7488,509370.5412,676936.482,690227.4849,662126.7312,2.39E-05,0.563373723,3.82E-05,134,0.000735425,TRUE,10
3893,YPL134C,370134.4282,350594.765,387160.5419,781938.9599,826555.506,778542.1731,2.42E-05,0.626438304,2.21E-05,135,0.000739225,TRUE,7
3888,YPL127C,391296.5422,383571.9369,404102.5954,735771.6801,803029.016,788274.9369,2.45E-05,0.599316691,5.61E-05,136,0.000740915,TRUE,5
3641,YOR142W,450947.9044,464667.8252,460743.085,735521.1331,693185.0891,727343.4284,2.46E-05,0.427051519,4.41E-05,137,0.000739465,TRUE,18
3232,YNL117W,120329.7289,125243.6747,145684.2796,859116.4178,1053087.413,1071326.905,2.47E-05,0.564128988,0.000225325,138,0.000736461,TRUE,18
1596,YGR197C,387788.4908,391773.3253,403740.4506,747665.8661,818596.6436,758910.2168,2.49E-05,0.603580587,7.19E-05,139,0.00073671,TRUE,1
2906,YML128C,235999.0725,232368.0807,250167.6221,938466.9242,800997.015,953515.5482,2.54E-05,0.466697354,0.000175308,140,0.000746128,TRUE,12
1042,YEL050C,385954.3437,376226.6263,400966.9543,764894.8681,821496.335,755619.6541,2.58E-05,0.626213075,5.58E-05,141,0.000753637,TRUE,4
3471,YOL044W,243945.6808,238801.9357,235151.885,942800.9584,794261.5799,954555.5019,2.59E-05,0.443898291,0.000218796,142,0.00074953,TRUE,2
2130,YJR009C,870847.2752,960241.4026,854450.393,348318.9257,348844.4533,372531.8412,2.67E-05,0.611967556,9.10E-05,143,0.000769932,TRUE,7
79,YBL016W,316998.171,348448.5078,353628.8149,846357.2755,824838.2297,785295.3653,2.70E-05,0.501568031,2.28E-05,144,0.000771562,TRUE,4
216,YBR093C,1167965.475,1062178.671,1137685.706,144292.0531,183704.2731,186070.9225,2.73E-05,0.460072393,1.00E-05,145,0.000776069,TRUE,2
63,YAR035W,351342.8544,367129.9951,384869.8164,777609.411,836500.0873,777200.3371,2.74E-05,0.578474465,4.03E-05,146,0.000773793,TRUE,8
150,YBR001C,453249.6415,468391.9381,468830.4047,702186.695,741455.2926,707144.4517,2.82E-05,0.568377202,4.56E-05,147,0.000790998,TRUE,3
2195,YJR101W,482678.8659,499551.7187,491685.0712,681984.0367,710956.4567,687465.8788,2.86E-05,0.54198904,3.73E-05,148,0.000794909,TRUE,5
3881,YPL118W,376253.8871,385628.437,410261.6576,767041.8135,809150.7061,757406.1356,3.02E-05,0.588950923,3.32E-05,149,0.000834899,TRUE,6
358,YCL004W,363913.9752,380281.498,405909.216,797906.1778,786887.8535,763810.3419,3.11E-05,0.535929242,1.46E-05,150,0.000853865,TRUE,4
117,YBL064C,453299.1085,461771.9275,473031.6855,710733.374,741708.951,700707.0859,3.14E-05,0.592592244,4.76E-05,151,0.000856782,TRUE,10
1808,YHR147C,386571.7536,415186.1468,415757.1001,750239.3929,793916.2214,750588.1872,3.17E-05,0.540544209,3.26E-05,152,0.000857604,TRUE,5
1031,YEL036C,483693.4577,493875.4824,492683.0134,674610.2502,711209.0486,697790.2466,3.18E-05,0.562233479,5.23E-05,153,0.000856768,TRUE,9
2112,YJL200C,480564.9209,490370.0263,500781.998,692809.6087,709167.7496,680773.192,3.22E-05,0.576676728,3.55E-05,154,0.000861334,TRUE,25
3025,YMR169C,348362.0596,345487.9415,385375.8001,794825.1745,830125.9794,785656.328,3.23E-05,0.601521963,1.86E-05,155,0.000858536,TRUE,12
2495,YLL040C,719328.7251,735099.4635,761410.8794,482931.9761,500027.0148,483920.6352,3.29E-05,0.463580529,4.98E-05,156,0.000868922,TRUE,33
3852,YPL078C,187504.0029,184558.1212,199662.4008,964575.8542,1055310.841,819858.2811,3.30E-05,0.603029857,0.000387951,157,0.000865072,TRUE,10
1867,YIL030C,496484.096,503303.787,506948.9301,666393.0053,697830.0494,688976.1135,3.30E-05,0.571336713,5.03E-05,158,0.000860537,TRUE,12
929,YDR425W,860550.5871,819627.3629,832384.0949,383129.8474,428009.0676,409882.5962,3.36E-05,0.433819392,1.73E-05,159,0.000870779,TRUE,2
718,YDR129C,666328.5589,678696.4536,672662.5248,543249.3304,551388.9091,534329.1567,3.44E-05,0.494669065,2.87E-05,160,0.000884917,TRUE,38
457,YCR088W,715071.2859,740091.2512,723247.0857,492076.3736,514277.2953,489981.2418,3.46E-05,0.493283895,2.91E-05,161,0.000884433,TRUE,27
