,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
2279,YJL107C,156002.8371,157963.5873,171818.9797,981603.7429,1027455.735,916267.0004,2.36E-06,0.557692494,1.54E-05,140,7.70E-05,TRUE,1
3638,YNL209W,876146.9989,874644.5363,907549.5946,384444.8218,406153.6854,399246.2282,2.38E-06,0.478790345,2.53E-06,141,7.70E-05,TRUE,10
4222,YPL029W,406889.179,407469.0925,425925.7548,768315.8171,780339.6495,770804.4055,2.38E-06,0.552805327,9.85E-07,142,7.66E-05,TRUE,12
1120,YDR545W,1159758.52,1154157.128,1085273.166,182122.4349,202537.4526,206018.8906,2.40E-06,0.513594588,3.08E-06,143,7.66E-05,TRUE,10
1677,YGR084C,352127.1651,370038.5189,366028.4332,798516.7779,804984.1102,835118.1465,2.45E-06,0.486675137,3.57E-06,144,7.76E-05,TRUE,6
2044,YHR205W,523289.297,523734.5699,529371.0688,680020.829,691081.6753,679438.6909,2.46E-06,0.56810547,3.16E-06,145,7.74E-05,TRUE,18
3601,YNL156C,1259064.689,1377148.512,1209951.42,76199.95731,71116.85277,87185.92048,2.47E-06,0.571824287,1.74E-05,146,7.73E-05,TRUE,1
2667,YKR016W,332389.7484,345250.3697,342442.5553,847846.3657,798303.906,844762.5348,2.48E-06,0.465914414,7.63E-06,147,7.69E-05,TRUE,25
923,YDR297W,781726.9806,814275.8083,806704.4848,462507.6411,469971.8086,460317.1286,2.49E-06,0.526364238,5.14E-06,148,7.66E-05,TRUE,3
170,YBR005W,376708.1586,367146.123,359958.9845,789165.364,831328.0165,806308.1556,2.50E-06,0.552668819,4.74E-06,149,7.65E-05,TRUE,1
1136,YEL022W,790070.3471,792367.4655,779958.1806,469112.8954,485717.6601,468098.5652,2.52E-06,0.488404913,1.38E-06,150,7.65E-05,TRUE,40
3070,YLR410W,806228.4157,800518.0751,801311.2582,459608.4162,474658.1863,452825.8033,2.53E-06,0.472846548,8.96E-07,151,7.64E-05,TRUE,60
2647,YKL208W,301850.4784,308209.6049,324900.1797,863861.4755,830635.5329,866062.7674,2.54E-06,0.504734901,2.21E-06,152,7.62E-05,TRUE,2
3789,YNR065C,244116.2673,269256.8188,260899.7147,912200.5127,872627.7185,903316.3643,2.56E-06,0.470263857,1.42E-06,153,7.64E-05,TRUE,2
263,YBR122C,329679.2523,334415.1386,339746.7959,799866.3161,853261.8504,854573.7073,2.58E-06,0.540130909,1.05E-05,154,7.65E-05,TRUE,10
3557,YNL100W,352649.9398,342370.7265,365711.1603,815510.8237,837543.9481,810058.8239,2.59E-06,0.574545103,1.69E-06,155,7.62E-05,TRUE,5
292,YBR158W,908318.3261,892946.4986,863224.5883,385338.6074,404471.0843,389634.5407,2.61E-06,0.49420652,4.33E-06,156,7.62E-05,TRUE,2
3983,YOR098C,765696.7782,757563.6687,772201.8682,494681.6902,499505.2841,483151.9616,2.61E-06,0.47090451,1.86E-06,157,7.57E-05,TRUE,20
2432,YJR096W,487603.0345,497895.2921,485064.6949,717122.6588,712509.5784,704137.0288,2.65E-06,0.486325,2.23E-06,158,7.64E-05,TRUE,7
398,YBR299W,816555.4578,828405.0779,803198.0285,441600.5578,450383.5863,461031.7877,2.66E-06,0.543721501,2.41E-06,159,7.62E-05,TRUE,1
1920,YHR059W,281391.7996,280432.9216,258293.8768,868067.1956,877917.6849,903897.8695,2.72E-06,0.494894477,1.27E-06,160,7.75E-05,TRUE,2
427,YCL042W,360015.3949,360177.6056,372710.8024,831707.7741,784409.9332,817557.6587,2.74E-06,0.494814797,6.85E-06,161,7.76E-05,TRUE,1
2051,YIL002W-A,821680.7064,840867.2894,798573.8694,446986.3261,451806.6353,443729.727,2.77E-06,0.541697654,7.40E-06,162,7.81E-05,TRUE,6
1990,YHR136C,1055299.872,1093579.778,1063522.601,232546.2145,248577.4267,263989.2283,2.78E-06,0.530694994,6.21E-07,163,7.77E-05,TRUE,3
4361,YPL206C,551319.6981,548222.5859,552229.1223,668111.6089,663251.5066,658135.6298,2.81E-06,0.5405056,3.54E-06,164,7.81E-05,TRUE,7
1612,YGL255W,1190497.677,1266153.054,1131292.752,145591.0496,159317.1844,136804.8143,2.82E-06,0.509520572,1.20E-05,165,7.79E-05,TRUE,1
4191,YOR373W,531310.9063,529897.5581,521638.6388,677834.8684,685927.6798,680162.2871,2.87E-06,0.527562965,2.37E-06,166,7.88E-05,TRUE,8
1087,YDR494W,253514.2907,250731.9047,276839.1018,901165.3369,906186.5266,879111.9186,2.92E-06,0.554424709,6.97E-07,167,7.98E-05,TRUE,11
1890,YHR023W,742634.3929,755278.2316,741842.9629,515324.8273,502188.8608,502567.4672,2.96E-06,0.56662471,2.55E-06,168,8.03E-05,TRUE,35
